2026-03-18 09:18:03 | 📝 PAPER TRADE: SELL 4 INFY | Value: ₹5.0K | Regime: Bear | Signal: -0.444
2026-03-18 09:18:15 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.430
2026-03-18 09:23:58 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.425
2026-03-18 09:29:43 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.423
2026-03-18 09:35:33 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.423
2026-03-18 09:41:17 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.422
2026-03-18 09:47:03 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.417
2026-03-18 09:52:52 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.414
2026-03-18 09:58:25 | 📝 PAPER TRADE: SELL 6 HDFCBANK | Value: ₹5.0K | Regime: Bear | Signal: -0.428
2026-03-18 09:58:38 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.421
2026-03-18 10:04:12 | 📝 PAPER TRADE: SELL 6 HDFCBANK | Value: ₹5.0K | Regime: Bear | Signal: -0.429
2026-03-18 10:04:25 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.419
2026-03-18 10:09:58 | 📝 PAPER TRADE: SELL 5 HDFCBANK | Value: ₹4.2K | Regime: Bear | Signal: -0.428
2026-03-18 10:10:09 | 📝 PAPER TRADE: SELL 13 KOTAKBANK | Value: ₹4.8K | Regime: Bear | Signal: -0.403
2026-03-18 10:10:13 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.417
2026-03-18 10:15:46 | 📝 PAPER TRADE: SELL 6 HDFCBANK | Value: ₹5.0K | Regime: Bear | Signal: -0.428
2026-03-18 10:15:59 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.415
2026-03-18 10:21:50 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.414
2026-03-18 10:33:33 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.415
2026-03-18 10:39:25 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.415
2026-03-18 12:24:01 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.415
2026-03-18 13:10:20 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.415
2026-03-18 13:27:38 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.415
2026-03-18 13:33:24 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.417
2026-03-18 13:39:11 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.418
2026-03-18 13:44:56 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.418
2026-03-18 13:50:45 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.420
2026-03-18 13:56:34 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.417
2026-03-18 14:02:19 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.420
2026-03-18 14:08:03 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.424
2026-03-18 14:13:47 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.423
2026-03-18 14:19:35 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.426
2026-03-18 14:25:20 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.424
2026-03-18 14:31:05 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.427
2026-03-18 14:36:50 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.429
2026-03-18 14:42:34 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.426
2026-03-18 14:48:16 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.426
2026-03-18 14:54:00 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.426
2026-03-18 14:59:45 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.425
2026-03-18 15:05:31 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.435
2026-03-18 15:11:17 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.436
2026-03-18 15:17:04 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.438
2026-03-18 15:22:52 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.8K | Regime: Bear | Signal: -0.442
2026-03-18 15:28:39 | 📝 PAPER TRADE: SELL 25 WIPRO | Value: ₹4.9K | Regime: Bear | Signal: -0.441
