2026-03-31 09:18:14 | 📝 PAPER TRADE: SELL 2 TCS | Value: ₹4.7K | Regime: Bear | Signal: -0.458
2026-03-31 09:18:15 | 📝 PAPER TRADE: SELL 6 HDFCBANK | Value: ₹4.4K | Regime: Bear | Signal: -0.519
2026-03-31 09:18:17 | 📝 PAPER TRADE: SELL 4 ICICIBANK | Value: ₹4.8K | Regime: Bear | Signal: -0.551
2026-03-31 09:18:19 | 📝 PAPER TRADE: SELL 17 ITC | Value: ₹4.9K | Regime: Bear | Signal: -0.540
2026-03-31 09:18:23 | 📝 PAPER TRADE: SELL 2 HINDUNILVR | Value: ₹4.1K | Regime: Bear | Signal: -0.490
2026-03-31 09:18:26 | 📝 PAPER TRADE: SELL 14 KOTAKBANK | Value: ₹4.9K | Regime: Bear | Signal: -0.591
2026-03-31 09:18:28 | 📝 PAPER TRADE: SELL 2 ADANIENT | Value: ₹3.5K | Regime: Bear | Signal: -0.525
2026-03-31 09:18:35 | 📝 PAPER TRADE: SELL 4 AXISBANK | Value: ₹4.6K | Regime: Bear | Signal: -0.490
2026-03-31 09:18:39 | 📝 PAPER TRADE: SELL 4 NESTLEIND | Value: ₹4.7K | Regime: Bear | Signal: -0.487
2026-03-31 09:18:45 | 📝 PAPER TRADE: SELL 4 CIPLA | Value: ₹4.9K | Regime: Bear | Signal: -0.430
2026-03-31 09:18:56 | 📝 PAPER TRADE: SELL 1 TRENT | Value: ₹3.3K | Regime: Bear | Signal: -0.462
2026-03-31 09:18:58 | 📝 PAPER TRADE: SELL 3 ADANIPORTS | Value: ₹3.9K | Regime: Bear | Signal: -0.410
2026-03-31 09:18:59 | 📝 PAPER TRADE: SELL 3 PIDILITIND | Value: ₹3.9K | Regime: Bear | Signal: -0.529
2026-03-31 09:19:00 | 📝 PAPER TRADE: SELL 3 BAJAJFINSV | Value: ₹4.9K | Regime: Bear | Signal: -0.543
2026-03-31 09:19:01 | 📝 PAPER TRADE: SELL 4 TATACONSUM | Value: ₹4.1K | Regime: Bear | Signal: -0.529
2026-03-31 09:19:02 | 📝 PAPER TRADE: SELL 2 SBILIFE | Value: ₹3.6K | Regime: Bear | Signal: -0.516
2026-03-31 13:30:54 | 📝 PAPER TRADE: SELL 2 TCS | Value: ₹4.7K | Regime: Bear | Signal: -0.458
2026-03-31 13:30:55 | 📝 PAPER TRADE: SELL 6 HDFCBANK | Value: ₹4.4K | Regime: Bear | Signal: -0.519
2026-03-31 13:30:57 | 📝 PAPER TRADE: SELL 4 ICICIBANK | Value: ₹4.8K | Regime: Bear | Signal: -0.551
2026-03-31 13:30:59 | 📝 PAPER TRADE: SELL 17 ITC | Value: ₹4.9K | Regime: Bear | Signal: -0.540
2026-03-31 13:31:05 | 📝 PAPER TRADE: SELL 2 HINDUNILVR | Value: ₹4.1K | Regime: Bear | Signal: -0.490
2026-03-31 13:31:07 | 📝 PAPER TRADE: SELL 14 KOTAKBANK | Value: ₹4.9K | Regime: Bear | Signal: -0.591
2026-03-31 13:31:09 | 📝 PAPER TRADE: SELL 2 ADANIENT | Value: ₹3.5K | Regime: Bear | Signal: -0.525
2026-03-31 13:31:15 | 📝 PAPER TRADE: SELL 4 AXISBANK | Value: ₹4.6K | Regime: Bear | Signal: -0.490
2026-03-31 13:31:18 | 📝 PAPER TRADE: SELL 4 NESTLEIND | Value: ₹4.7K | Regime: Bear | Signal: -0.487
2026-03-31 13:31:24 | 📝 PAPER TRADE: SELL 4 CIPLA | Value: ₹4.9K | Regime: Bear | Signal: -0.430
2026-03-31 13:31:33 | 📝 PAPER TRADE: SELL 1 TRENT | Value: ₹3.3K | Regime: Bear | Signal: -0.462
2026-03-31 13:31:35 | 📝 PAPER TRADE: SELL 3 ADANIPORTS | Value: ₹3.9K | Regime: Bear | Signal: -0.410
2026-03-31 13:31:36 | 📝 PAPER TRADE: SELL 3 PIDILITIND | Value: ₹3.9K | Regime: Bear | Signal: -0.529
2026-03-31 13:31:36 | 📝 PAPER TRADE: SELL 3 BAJAJFINSV | Value: ₹4.9K | Regime: Bear | Signal: -0.543
2026-03-31 13:31:37 | 📝 PAPER TRADE: SELL 4 TATACONSUM | Value: ₹4.1K | Regime: Bear | Signal: -0.529
2026-03-31 13:31:38 | 📝 PAPER TRADE: SELL 2 SBILIFE | Value: ₹3.6K | Regime: Bear | Signal: -0.516
