2026-04-01 09:37:08 | 📝 PAPER TRADE: SELL 6 HDFCBANK | Value: ₹4.5K | Regime: Bear | Signal: -0.454
2026-04-01 09:37:11 | 📝 PAPER TRADE: SELL 4 ICICIBANK | Value: ₹4.9K | Regime: Bear | Signal: -0.416
2026-04-01 09:37:17 | 📝 PAPER TRADE: SELL 2 HINDUNILVR | Value: ₹4.2K | Regime: Bear | Signal: -0.471
2026-04-01 09:37:19 | 📝 PAPER TRADE: SELL 13 KOTAKBANK | Value: ₹4.7K | Regime: Bear | Signal: -0.457
2026-04-01 09:37:30 | 📝 PAPER TRADE: SELL 4 NESTLEIND | Value: ₹4.7K | Regime: Bear | Signal: -0.404
2026-04-01 09:37:47 | 📝 PAPER TRADE: SELL 2 BAJAJFINSV | Value: ₹3.3K | Regime: Bear | Signal: -0.464
2026-04-01 09:37:48 | 📝 PAPER TRADE: SELL 4 TATACONSUM | Value: ₹4.1K | Regime: Bear | Signal: -0.425
2026-04-01 10:41:08 | 📝 PAPER TRADE: SELL 17 BPCL | Value: ₹4.8K | Regime: HighVol | Signal: -0.447
2026-04-01 10:41:20 | 📝 PAPER TRADE: SELL 2 SBILIFE | Value: ₹3.6K | Regime: Bear | Signal: -0.406
2026-04-01 11:12:36 | 📝 PAPER TRADE: SELL 4 CIPLA | Value: ₹4.8K | Regime: Bear | Signal: -0.484
2026-04-01 13:49:33 | 📝 PAPER TRADE: SELL 6 HDFCBANK | Value: ₹4.5K | Regime: Bear | Signal: -0.453
2026-04-01 13:49:35 | 📝 PAPER TRADE: SELL 4 ICICIBANK | Value: ₹4.8K | Regime: Bear | Signal: -0.426
2026-04-01 13:49:41 | 📝 PAPER TRADE: SELL 2 HINDUNILVR | Value: ₹4.1K | Regime: Bear | Signal: -0.469
2026-04-01 13:49:42 | 📝 PAPER TRADE: SELL 14 KOTAKBANK | Value: ₹5.0K | Regime: Bear | Signal: -0.433
2026-04-01 13:49:52 | 📝 PAPER TRADE: SELL 4 NESTLEIND | Value: ₹4.7K | Regime: Bear | Signal: -0.482
2026-04-01 13:50:09 | 📝 PAPER TRADE: SELL 3 BAJAJFINSV | Value: ₹5.0K | Regime: Bear | Signal: -0.432
2026-04-01 13:50:10 | 📝 PAPER TRADE: SELL 4 TATACONSUM | Value: ₹4.1K | Regime: Bear | Signal: -0.475
2026-04-01 14:53:02 | 📝 PAPER TRADE: SELL 17 BPCL | Value: ₹4.8K | Regime: HighVol | Signal: -0.450
2026-04-01 14:53:14 | 📝 PAPER TRADE: SELL 2 SBILIFE | Value: ₹3.6K | Regime: Bear | Signal: -0.403
2026-04-01 15:24:28 | 📝 PAPER TRADE: SELL 4 CIPLA | Value: ₹4.8K | Regime: Bear | Signal: -0.492
