2026-04-03 09:44:55 | 📝 PAPER TRADE: SELL 4 ICICIBANK | Value: ₹4.9K | Regime: Bear | Signal: -0.425
2026-04-03 09:45:02 | 📝 PAPER TRADE: SELL 2 HINDUNILVR | Value: ₹4.1K | Regime: Bear | Signal: -0.489
2026-04-03 09:45:04 | 📝 PAPER TRADE: SELL 13 KOTAKBANK | Value: ₹4.7K | Regime: Bear | Signal: -0.462
2026-04-03 09:45:20 | 📝 PAPER TRADE: SELL 4 CIPLA | Value: ₹4.8K | Regime: Bear | Signal: -0.500
2026-04-03 09:45:24 | 📝 PAPER TRADE: SELL 17 BPCL | Value: ₹4.7K | Regime: HighVol | Signal: -0.441
2026-04-03 09:45:33 | 📝 PAPER TRADE: SELL 3 PIDILITIND | Value: ₹3.8K | Regime: Bear | Signal: -0.435
2026-04-03 09:45:34 | 📝 PAPER TRADE: SELL 3 BAJAJFINSV | Value: ₹4.9K | Regime: Bear | Signal: -0.466
2026-04-03 13:57:32 | 📝 PAPER TRADE: SELL 4 ICICIBANK | Value: ₹4.9K | Regime: Bear | Signal: -0.425
2026-04-03 13:57:38 | 📝 PAPER TRADE: SELL 2 HINDUNILVR | Value: ₹4.1K | Regime: Bear | Signal: -0.489
2026-04-03 13:57:41 | 📝 PAPER TRADE: SELL 13 KOTAKBANK | Value: ₹4.7K | Regime: Bear | Signal: -0.462
2026-04-03 13:57:57 | 📝 PAPER TRADE: SELL 4 CIPLA | Value: ₹4.8K | Regime: Bear | Signal: -0.500
2026-04-03 13:58:00 | 📝 PAPER TRADE: SELL 17 BPCL | Value: ₹4.7K | Regime: HighVol | Signal: -0.441
2026-04-03 13:58:07 | 📝 PAPER TRADE: SELL 3 PIDILITIND | Value: ₹3.8K | Regime: Bear | Signal: -0.435
2026-04-03 13:58:08 | 📝 PAPER TRADE: SELL 3 BAJAJFINSV | Value: ₹4.9K | Regime: Bear | Signal: -0.466
